Filename,Width,Height,Pixels,FileSize_Bytes,FileSize_KB,FileSize_MB,Path
Voi.png,547,310,169570,55908,54.59,.05,content/posts/7-cool-apps-for-boosting-your-brain-power/Voi.png
That-level-again.png,551,310,170810,206113,201.28,.19,content/posts/7-cool-apps-for-boosting-your-brain-power/That-level-again.png
Memoryzer.png,541,310,167710,72308,70.61,.06,content/posts/7-cool-apps-for-boosting-your-brain-power/Memoryzer.png
full-shot-woman-couch-with-smartphone.jpg,7386,4924,36368664,15285024,14926.78,14.57,content/posts/7-cool-apps-for-boosting-your-brain-power/full-shot-woman-couch-with-smartphone.jpg
Mekorama.png,542,310,168020,186488,182.11,.17,content/posts/7-cool-apps-for-boosting-your-brain-power/Mekorama.png
Brain-training-app.jpg,1000,688,688000,82413,80.48,.07,content/posts/7-cool-apps-for-boosting-your-brain-power/Brain-training-app.jpg
Brain-dots.png,550,310,170500,33053,32.27,.03,content/posts/7-cool-apps-for-boosting-your-brain-power/Brain-dots.png
start-up-company-motivation-business-concept_1_.png,1200,800,960000,268074,261.79,.25,content/posts/what-is-a-minimum-viable-product-and-how-to-build-an-mvp/start-up-company-motivation-business-concept_1_.png
close-up-programmer-typing-keyboard.jpg,7020,4683,32874660,1328826,1297.68,1.26,content/posts/what-is-penetration-testing-and-why-is-it-important/close-up-programmer-typing-keyboard.jpg
pen_test_socials.png,1200,628,753600,646377,631.22,.61,content/posts/what-is-penetration-testing-and-why-is-it-important/pen_test_socials.png
Seed-funding.jpg,1200,731,877200,488821,477.36,.46,content/posts/how-to-get-seed-funding-for-your-health-it-startup/Seed-funding.jpg
ticketmaster.png,1251,617,771867,259519,253.43,.24,content/posts/ticket-booking-app-development-guide/ticketmaster.png
market_value.png,1936,1230,2381280,118600,115.82,.11,content/posts/ticket-booking-app-development-guide/market_value.png
ticket_booking_socials.png,1200,628,753600,219840,214.68,.20,content/posts/ticket-booking-app-development-guide/ticket_booking_socials.png
Info_ticketbooking.png,932,1594,1485608,660335,644.85,.62,content/posts/ticket-booking-app-development-guide/Info_ticketbooking.png
ticket_booking.jpg,1200,800,960000,54630,53.34,.05,content/posts/ticket-booking-app-development-guide/ticket_booking.jpg
Advantagies_of_IT_outsourcing.jpg,1500,655,982500,336484,328.59,.32,content/posts/software-development-do-it-inhouse-or-outsource/Advantagies_of_IT_outsourcing.jpg
Risks_of_IT_outsourcing.jpg,1500,657,985500,297115,290.15,.28,content/posts/software-development-do-it-inhouse-or-outsource/Risks_of_IT_outsourcing.jpg
hire-or-outsource1.jpg,1524,918,1399032,489940,478.45,.46,content/posts/software-development-do-it-inhouse-or-outsource/hire-or-outsource1.jpg
imaginatory-fractal-abstract-background-image.jpg,4760,3602,17145520,7183060,7014.70,6.85,content/posts/top-gen-ai-applications-and-their-value-for-your-business/imaginatory-fractal-abstract-background-image.jpg
generative-ai-use-cases.png,3600,3963,14266800,261024,254.90,.24,content/posts/top-gen-ai-applications-and-their-value-for-your-business/generative-ai-use-cases.png
generative-ai-use-cases-1-.png,3600,4083,14698800,406426,396.90,.38,content/posts/top-gen-ai-applications-and-their-value-for-your-business/generative-ai-use-cases-1-.png
fintech_healthcare_socials.jpg,1200,628,753600,821571,802.31,.78,content/posts/fintech-in-healthcare/fintech_healthcare_socials.jpg
fintech_healthcare.jpg,1200,628,753600,906459,885.21,.86,content/posts/fintech-in-healthcare/fintech_healthcare.jpg
wellpay.jpg,1999,1191,2380809,135134,131.96,.12,content/posts/fintech-in-healthcare/wellpay.jpg
Fintech_in_Healthcare.jpg,1200,887,1064400,138957,135.70,.13,content/posts/fintech-in-healthcare/Fintech_in_Healthcare.jpg
carecredit.jpg,1999,1191,2380809,161504,157.71,.15,content/posts/fintech-in-healthcare/carecredit.jpg
cedar.jpg,1999,1191,2380809,183681,179.37,.17,content/posts/fintech-in-healthcare/cedar.jpg
Benefits_of_Fintech_in_Healthcare.jpg,1200,738,885600,130314,127.25,.12,content/posts/fintech-in-healthcare/Benefits_of_Fintech_in_Healthcare.jpg
game-engine.jpg,1000,537,537000,385727,376.68,.36,content/posts/it-duel-2017-implementation-part3-the-engine/game-engine.jpg
seal-cropped.png,900,628,565200,165403,161.52,.15,content/posts/edtech-startups-to-invest-or-not-to-invest/seal-cropped.png
seal.png,1200,628,753600,222934,217.70,.21,content/posts/edtech-startups-to-invest-or-not-to-invest/seal.png
kotlin_developers_socials.png,1200,628,753600,979334,956.38,.93,content/posts/how-to-hire-kotlin-developer/kotlin_developers_socials.png
Hiring_a_Kotlin_Expert____Roles___Skills-1.png,1634,2240,3660160,1033692,1009.46,.98,content/posts/how-to-hire-kotlin-developer/Hiring_a_Kotlin_Expert____Roles___Skills-1.png
kotlin_developers.png,1200,628,753600,1195599,1167.57,1.14,content/posts/how-to-hire-kotlin-developer/kotlin_developers.png
Hiring_a_Kotlin_Expert____Roles___Skills.png,1590,2240,3561600,878025,857.44,.83,content/posts/how-to-hire-kotlin-developer/Hiring_a_Kotlin_Expert____Roles___Skills.png
In-House_Hiring__vs_Freelancers_vs_Outsourcing_for_Software_Development.png,1634,2240,3660160,746158,728.66,.71,content/posts/how-to-hire-kotlin-developer/In-House_Hiring__vs_Freelancers_vs_Outsourcing_for_Software_Development.png
Delivery_App_Features.png,1340,2010,2693400,2435539,2378.45,2.32,content/posts/grocery-delivery-app-development/Delivery_App_Features.png
instacart.png,1470,635,933450,415488,405.75,.39,content/posts/grocery-delivery-app-development/instacart.png
downloads.png,1308,1230,1608840,67071,65.49,.06,content/posts/grocery-delivery-app-development/downloads.png
grocery_delivery.png,1200,628,753600,307821,300.60,.29,content/posts/grocery-delivery-app-development/grocery_delivery.png
Info_Grocery.png,932,1573,1466036,583898,570.21,.55,content/posts/grocery-delivery-app-development/Info_Grocery.png
revenue.png,1562,765,1194930,79299,77.44,.07,content/posts/grocery-delivery-app-development/revenue.png
grocery_delivery_socials.png,1200,628,753600,286624,279.90,.27,content/posts/grocery-delivery-app-development/grocery_delivery_socials.png
ultimate.png,1136,1324,1504064,318714,311.24,.30,content/posts/grocery-delivery-app-development/ultimate.png
re-crowd-socials.png,1200,628,753600,718559,701.71,.68,content/posts/real-estate-crowdfunding-platform/re-crowd-socials.png
Groundfloor.png,1706,957,1632642,480971,469.69,.45,content/posts/real-estate-crowdfunding-platform/Groundfloor.png
Chart.png,1530,1302,1992060,51771,50.55,.04,content/posts/real-estate-crowdfunding-platform/Chart.png
Real_Estate_Crowdfunding_Platforms_Explained.png,1149,1586,1822314,600461,586.38,.57,content/posts/real-estate-crowdfunding-platform/Real_Estate_Crowdfunding_Platforms_Explained.png
ListingDoor.png,1706,957,1632642,354926,346.60,.33,content/posts/real-estate-crowdfunding-platform/ListingDoor.png
Fundrise_app.png,1200,675,810000,437792,427.53,.41,content/posts/real-estate-crowdfunding-platform/Fundrise_app.png
re-crowd.png,1200,628,753600,789457,770.95,.75,content/posts/real-estate-crowdfunding-platform/re-crowd.png
Essential_Features_for_Real_Estate_Crowdfunding_Platforms.png,1343,1892,2540956,651058,635.79,.62,content/posts/real-estate-crowdfunding-platform/Essential_Features_for_Real_Estate_Crowdfunding_Platforms.png
Realty_Mogul.png,1551,873,1354023,603461,589.31,.57,content/posts/real-estate-crowdfunding-platform/Realty_Mogul.png
Machine-learning-business-value.jpg,1200,675,810000,265952,259.71,.25,content/posts/how-machine-learning-can-unlock-new-business-opportunities/Machine-learning-business-value.jpg
Current-trends-and-issues-in-educational-technology.jpg,1200,673,807600,411157,401.52,.39,content/posts/technology-trends-in-education/Current-trends-and-issues-in-educational-technology.jpg
